Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
2:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.138,0.631,0.093,0.676,0.146,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.858,0.093,0.639,0.093,0.496,0.142,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.064,0.142,0.668,0.149,0.679,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.138,0.094,0.16,0.091,0.145,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
2:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.138,0.65,0.093,0.662,0.149,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.877,0.093,0.66,0.093,0.476,0.143,0.091,0.087,0.088,0.088,0.087,0.095,0.092,1.072,0.142,0.676,0.137,0.684,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.145,0.094,0.161,0.091,0.145,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
3:14:10,0.089,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.141,0.662,0.093,0.676,0.147,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.881,0.093,0.675,0.093,0.481,0.142,0.091,0.087,0.088,0.088,0.087,0.095,0.093,1.067,0.142,0.658,0.139,0.691,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.145,0.094,0.176,0.09,0.144,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
3:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.143,0.664,0.093,0.685,0.147,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.887,0.093,0.699,0.093,0.482,0.142,0.091,0.087,0.088,0.088,0.087,0.095,0.093,1.075,0.144,0.657,0.14,0.699,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.143,0.094,0.177,0.091,0.147,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.088,0.085,0.087,0.089,0.087,0.086,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
3:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.164,0.686,0.093,0.689,0.149,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.897,0.093,0.67,0.093,0.465,0.143,0.091,0.087,0.088,0.088,0.087,0.095,0.093,1.078,0.147,0.676,0.144,0.703,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.169,0.094,0.181,0.091,0.149,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.094,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
3:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.149,0.708,0.093,0.7,0.152,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.908,0.094,0.683,0.093,0.479,0.15,0.091,0.088,0.088,0.088,0.087,0.095,0.093,1.094,0.15,0.678,0.148,0.692,0.092,0.09,0.089,0.089,0.088,0.093,0.093,0.217,0.094,0.169,0.091,0.154,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
4:14:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.155,0.713,0.093,0.697,0.157,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.919,0.094,0.696,0.093,0.478,0.152,0.091,0.088,0.088,0.088,0.087,0.095,0.093,1.088,0.156,0.676,0.156,0.682,0.092,0.09,0.089,0.089,0.088,0.093,0.094,0.159,0.094,0.176,0.091,0.162,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.087,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
4:29:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.166,0.716,0.093,0.717,0.163,0.093,0.093,0.088,0.089,0.088,0.085,0.093,0.9,0.094,0.726,0.093,0.481,0.16,0.091,0.087,0.088,0.088,0.087,0.095,0.093,1.102,0.166,0.695,0.166,0.705,0.092,0.09,0.089,0.089,0.088,0.093,0.094,0.164,0.094,0.182,0.091,0.168,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.092,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.089,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
4:44:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.174,0.73,0.093,0.717,0.171,0.094,0.093,0.088,0.089,0.088,0.085,0.093,0.907,0.094,0.703,0.093,0.495,0.169,0.091,0.088,0.088,0.088,0.087,0.095,0.093,1.097,0.176,0.697,0.176,0.711,0.092,0.09,0.089,0.089,0.088,0.093,0.094,0.298,0.095,0.189,0.091,0.174,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
4:59:10,0.09,0.093,0.092,0.091,0.089,0.091,0.091,0.091,0.087,0.089,0.087,0.086,0.095,0.181,0.734,0.094,0.721,0.182,0.094,0.093,0.088,0.089,0.088,0.085,0.093,0.916,0.095,0.702,0.094,0.485,0.181,0.091,0.087,0.088,0.088,0.087,0.095,0.094,1.104,0.188,0.72,0.184,0.699,0.092,0.09,0.089,0.089,0.088,0.093,0.094,0.185,0.095,0.198,0.091,0.184,0.095,0.089,0.09,0.09,0.088,0.093,0.093,0.094,0.094,0.093,0.093,0.091,0.092,0.089,0.089,0.089,0.088,0.087,0.088,0.086,0.089,0.085,0.088,0.089,0.087,0.087,0.088,0.088,0.089,0.086,0.087,0.09,0.088,0.087,0.087,0.088,0.085,0.089,0.092,0.087,0.085
