"","treatment","microbe","gland","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"25","low","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00324665581746819,286.884824944115,1.74788780122822,4037.15772701322,6.57728422941136e-05,5.9971563414361,0.00464201524450233,0.00313845949189438,0.00335485214304201,277.019502762453,296.750147125778,1.74025168615101,1.75552391630542,0.00311774104657173,0.00337557058836466,275.1303985149,298.63925137333,1.73878945134899,1.75698615110744,0.00384989736869642,332.351938016499,1.80388847046917,4035.48824640974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","medium","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.0031063449659221,503.589010096532,0.774863742313606,1740.86794770842,0.000272010747144327,11.9547075183928,0.0058043993217067,0.00265888728686968,0.00355380264497452,483.923516228776,523.254503964288,0.765315505429399,0.784411979197814,0.00257320390151922,0.00363948603032498,480.157783360483,527.020236832582,0.763487119643061,0.786240364984152,0.0038295021184596,510.569606216875,0.885388368880048,1740.69696813815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","control","Ecoli","dufours",TRUE,"logistic",FALSE,FALSE,0,0.00171605198338448,863.639334658649,1.25937623048522,2095.8521621097,2.04955522213412e-05,4.92373909928614,0.00288784238499128,0.00168233679998038,0.00174976716678859,855.539783840324,871.738885476975,1.25462572976191,1.26412673120853,0.00167588070103066,0.00175622326573831,853.988806024049,873.28986329325,1.25371605941064,1.2650364015598,0.00211318864667107,890.109597213973,1.27992849965219,2089.25056616965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","control","Ecoli","dufours",TRUE,"logistic",FALSE,FALSE,0,0.001866519620022,937.601389314424,1.230328442754,2002.6625748652,2.6164995545421e-05,5.20537260691186,0.00310319708872673,0.00182347820234978,0.00190956103769421,929.038551376054,946.164227252794,1.22522368354305,1.23543320196496,0.00181523622875297,0.00191780301129102,927.398859004877,947.803919623971,1.2242461764601,1.23641070904791,0.0020268185208104,1014.23182617131,1.25280926026291,1995.68650575611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","control","Smarcescens","dufours",TRUE,"richards",FALSE,FALSE,0,0.00309649332428356,274.202038155653,1.66437231997375,3861.23721631865,5.80809017180785e-05,5.42692803713373,0.00405828462696925,0.00300095024095732,0.0031920364076098,265.274741534568,283.129334776738,1.65769644176238,1.67104819818511,0.00298265475691612,0.00321033189165099,263.565259202871,284.838817108435,1.65641808210489,1.67232655784261,0.00348737773743882,315.529265248343,1.71023310953147,3859.41379955006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","high","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00343923445377176,286.438493329443,1.79861194530079,4186.59646654443,8.15868278465054e-05,7.2203746449907,0.00544844032872044,0.00330502412196426,0.00357344478557926,274.560977038433,298.316009620453,1.78964926096004,1.80757462964153,0.00327932427119261,0.00359914463635091,272.286559025261,300.590427633625,1.7879330022565,1.80929088834508,0.00519129625939983,396.562421677912,1.86446987955226,4183.62300823655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","control","Ecoli","sternal",TRUE,"richards",FALSE,FALSE,0,0.00157690347946541,858.426744874794,1.18661317647727,1949.7457906601,1.74549632765962e-05,5.0016774360344,0.00285885524404203,0.00154819006487541,0.00160561689405542,850.198985492518,866.654504257071,1.18191035960082,1.19131599335372,0.00154269175144329,0.00161111520748754,848.623457100167,868.230032649422,1.18100982019895,1.1922165327556,0.00168158323363183,850.963468363173,1.20386544900884,1945.90580788216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","high","Ecoli","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00130045999035322,361.919815987261,0.723613249577117,1599.35073400141,5.28099772565055e-05,12.1552046545763,0.00409494519877719,0.00121358757776627,0.00138733240294017,341.924504330483,381.915127644039,0.716877064725128,0.730349434429105,0.00119695243493047,0.00140396754577597,338.095614864292,385.744017110231,0.715587156987514,0.73163934216672,0.00146547267468427,379.974669093479,0.779908450828543,1602.02476716873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","control","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00358982305773182,283.889241301508,1.73287543993164,4039.37658445093,6.17242034150486e-05,4.49236007705117,0.00366835951180162,0.00348828674311406,0.00369135937234957,276.499308974758,291.279173628257,1.72684098853473,1.73890989132856,0.00346884361903832,0.00371080249642531,275.084215550487,292.694267052528,1.72568545528851,1.74006542457478,0.00446785339882619,339.891453686334,1.77619744572264,4039.52665724856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","control","Smarcescens","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00315948317141776,262.322109411244,1.72845296768279,4001.80850227743,4.77142607778186e-05,4.45412501495828,0.00349192060229925,0.00308099321243825,0.00323797313039727,254.995073761638,269.64914506085,1.72270875829201,1.73419717707357,0.00306596322029324,0.00325300312254229,253.592024381926,271.052194440562,1.72160880330228,1.73529713206329,0.00365880373001546,246.796774287621,1.76271123706462,4001.20695118074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","medium","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.00207788285409466,440.251600043281,0.758897794662271,1724.22936348841,0.000105410943568057,10.5875146193231,0.00383319178881384,0.0019044818519252,0.00225128385626411,422.835138494494,457.668061592067,0.752592194169673,0.76520339515487,0.00187127740470126,0.00228448830348805,419.500071389408,461.003128697154,0.751384738756196,0.766410850568346,0.00193075411050933,415.382277378949,0.814441844666263,1722.25954953894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","high","Ecoli","dufours",TRUE,"logistic",FALSE,FALSE,0,0.000385026410253781,1298.43779808339,0.0956774120951714,140.867259544701,6.8650313483426e-05,25.3099443231747,0.00174545022034593,0.000272096644573545,0.000497956175934016,1256.80293967177,1340.07265649502,0.0928061464827024,0.0985486777076405,0.000250471795826266,0.000519581024681295,1248.83030720997,1348.04528895682,0.0922563296632934,0.0990984945270495,0.000397435380347933,1270.556627161,0.127827758446385,140.873089086074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","high","Ecoli","dufours",TRUE,"logistic",FALSE,FALSE,0,0.000478816107804463,1373.99648601667,0.0615114739519117,89.6081014311415,0.000182242831166676,28.0257107040513,0.00166888299717896,0.000179026650535281,0.000778605565073644,1327.8941919085,1420.09878012483,0.0587661614215523,0.064256786482271,0.000121620158717778,0.000836012056891147,1319.06609303673,1428.92687899661,0.0582404632774409,0.0647824846263824,0.000449679971855237,1363.13031785666,0.0927041693073645,89.7619031678698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","medium","Smarcescens","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00321062411704564,259.999265685719,1.79374408164491,4145.0439446075,5.18869335755982e-05,4.86399667637856,0.00393550478473017,0.00312527011131378,0.0032959781227775,251.997991153076,268.000540218362,1.78727017627403,1.80021798701579,0.00310892572723747,0.00331232250685382,250.465832200017,269.532699171421,1.78603049226684,1.80145767102298,0.0040794103736702,338.570600518105,1.83453492037371,4144.54921196412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","medium","Ecoli","dufours",TRUE,"logistic",FALSE,FALSE,0,0.00134204107048364,1054.5881640196,0.53618674333601,879.692640385303,3.67491977146355e-05,6.22676338426423,0.00187261449274841,0.00128158864024307,0.00140249350072422,1044.34513825248,1064.83118978671,0.533106292495438,0.539267194176581,0.00127001264296296,0.00141406949800433,1042.38370778644,1066.79262025276,0.532516418930223,0.539857067741796,0.00176749540938618,1162.07970802675,0.567958940319435,878.233807764679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","high","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00168690561739921,513.646132132148,0.619893237993743,1344.01316171785,0.000118896139379729,14.0840407914148,0.00476391211166839,0.00149132146811956,0.00188248976667887,490.477885030271,536.814379234025,0.612056602570049,0.627729873417438,0.00145386918421494,0.00191994205058348,486.041412180975,541.250852083321,0.610555970254873,0.629230505732613,0.00238277241723658,532.413869772356,0.679223386790264,1343.26706025565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","medium","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.00214605287409075,458.68692611611,0.731525046381247,1657.50025423148,0.000157598330230637,14.3109209731749,0.00514975425103509,0.00188680362086135,0.00240530212732014,435.145461115238,482.228391116983,0.723053700638294,0.7399963921242,0.0018371601468387,0.00245494560134279,430.637521008687,486.736331223533,0.721431528049218,0.741618564713276,0.00191572922063231,431.044280861364,0.828395638484284,1657.01947939659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","low","Ecoli","dufours",TRUE,"richards",FALSE,FALSE,0,0.00275567746262134,1068.58051963656,0.609563738082987,1059.00410608468,0.000264960173244569,15.0945632271741,0.00398800673229003,0.00231981797763403,0.00319153694760866,1043.74996312786,1093.41107614527,0.60300346700837,0.616124009157604,0.00223635552306199,0.0032749994021807,1038.9951757113,1098.16586356183,0.601747244887699,0.617380231278276,0.00303003894125025,1097.60584467018,0.669573199073372,1056.58595262261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","low","Smarcescens","dufours",TRUE,"logistic",FALSE,FALSE,0,0.00342612469748519,379.478191663189,1.26379605460271,2945.71548535598,0.000175515273825483,10.7992290860397,0.00638731396271444,0.00313740207204227,0.00371484732292811,361.713459816654,397.242923509724,1.25328892313404,1.27430318607137,0.00308211476078725,0.00377013463418314,358.311702654551,400.644680671827,1.25127691923579,1.27631518996963,0.00434262515712675,414.123469940889,1.35673449636622,2945.04717619697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","medium","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00333213618304354,274.328297954459,1.78841101075068,4149.87863646483,6.51706642955173e-05,5.65790857224454,0.00454311979632628,0.00322493044027741,0.00343934192580966,265.021038353116,283.635557555801,1.78093757868572,1.79588444281563,0.00320440168102432,0.00345987068506275,263.238797152859,285.417798756058,1.77950649594988,1.79731552555148,0.00460660235105778,364.402399617372,1.83982059358626,4147.74390204038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","high","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.0017912570138222,544.984120476695,0.530606069044892,1155.73506299071,0.000205408105667318,18.5417645676356,0.00583624295233883,0.00145336067999946,0.00212915334764494,514.482917762934,575.485323190455,0.521005449388295,0.540206688701489,0.00138865712671426,0.00219385690093014,508.642261924129,581.32597902926,0.519167032858308,0.542045105231476,0.00258776097465889,558.222360849022,0.616286839538515,1155.81640276699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","medium","Ecoli","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.0018826726859032,1058.2287034213,0.507180986616565,852.298437870285,7.14607660074628e-05,5.56646557274046,0.00203000053314444,0.00176511972582093,0.00200022564598548,1049.07186755414,1067.38553928846,0.503841635739542,0.510520337493587,0.00174260958452857,0.00202273578727783,1047.31843089873,1069.13897594387,0.503202185571602,0.511159787661528,0.00611246964116461,14.8826262063144,0.541706914118495,857.557864351327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","low","Ecoli","dufours",TRUE,"logistic",FALSE,FALSE,0,0.00294325770029864,1095.04267881104,0.649243172808169,1097.00325048013,0.00018315819563416,7.85452716689234,0.00357282312505125,0.00264196246848045,0.00324455293211684,1082.1219816215,1107.96337600058,0.64336587876746,0.655120466848878,0.00258426763685569,0.0033022477637416,1079.64780556393,1110.43755205815,0.642240439483069,0.65624590613327,0.00406274856907428,1146.21423284624,0.706105889941907,1097.20715905651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","control","Smarcescens","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00323557599952104,281.679243332245,1.71078162813467,3945.97327282548,4.4498992826917e-05,3.92423335987802,0.00308725550842284,0.00316237515632077,0.00330877684272132,275.223879455245,288.134607209244,1.70570309282331,1.71586016344603,0.00314835797358029,0.0033227940254618,273.987745946884,289.370740717605,1.70473060733816,1.71683264893118,0.00385396174859487,329.830399681951,1.74656010594812,3945.70761917225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","control","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00328806392711139,282.673627325561,1.67975362734316,3890.15917490972,6.15986856255051e-05,5.1708245661676,0.00403002240706963,0.00318673408925743,0.00338939376496534,274.167620914215,291.179633736906,1.67312424048353,1.68638301420279,0.0031673305032854,0.00340879735093738,272.538811175872,292.808443475249,1.6718547834253,1.68765247126101,0.00380818667136987,327.484127916656,1.72563139083418,3890.17597778848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","high","Smarcescens","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00349974444777999,257.799946988979,1.83524574876721,4281.50485982704,6.13890810773422e-05,4.96695068486846,0.00417192482877818,0.00339875940940776,0.00360072948615222,249.62931311237,265.970580865588,1.82838293242387,1.84210856511055,0.0033794218488684,0.00362006704669158,248.064723646637,267.535170331321,1.8270687761028,1.84342272143161,0.00493207890055937,253.485017418489,1.88689194535484,4280.52345425958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","low","Ecoli","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00179081356139786,466.15488445662,0.788178688731568,1713.08640331857,4.19915036251455e-05,5.58911476224852,0.00224383131567286,0.00172173753793449,0.00185988958486122,456.960790672722,475.348978240519,0.784487586217287,0.79186979124585,0.00170851021429257,0.00187311690850314,455.200219522613,477.109549390627,0.78378077935285,0.792576598110287,0.00211809289775775,482.443824929528,0.830686017771621,1714.27078435087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","medium","Ecoli","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00124090840240666,1280.80578753063,0.30469699150001,448.42947271369,0.000112306524323127,12.0883582747233,0.00297600431505246,0.00105616416989512,0.00142565263491821,1260.92043816871,1300.69113689255,0.299801464401749,0.309592518598272,0.00102078761473333,0.00146102919007999,1257.11260531217,1304.49896974909,0.298864023042507,0.310529959957513,0.00163835940418361,2548.51151507288,0.368237357890981,448.549608096701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","high","Ecoli","dufours",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","control","Ecoli","dufours",TRUE,"richards",FALSE,FALSE,0,0.0015082307164946,950.852699315008,1.18213454788137,1797.84143622008,2.08122737560081e-05,6.22536694296119,0.00415752334315392,0.00147399452616597,0.00154246690682324,940.611970693837,961.093427936179,1.17529542198188,1.18897367378086,0.00146743865993283,0.00154902277305638,938.650980106804,963.054418523212,1.17398580212879,1.19028329363395,0.00211467041991656,2162.61951794226,1.23853053538987,1795.05863836577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","medium","Smarcescens","dufours",TRUE,"logistic",FALSE,FALSE,0,0.00216892404389932,385.071974399615,0.814545916693917,1891.29835063891,0.000192852354015895,19.0805655925715,0.00723545531998403,0.00185168192154317,0.00248616616625547,353.684443999835,416.459504799395,0.802643592692543,0.826448240695291,0.00179093343002817,0.00254691465777047,347.674065838175,422.469882961055,0.800364424266748,0.828727409121086,0.00690231845318542,14.8661107721436,0.946591536428817,1890.29758004914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","low","Ecoli","dufours",TRUE,"richards",FALSE,FALSE,0,0.0029768313312843,1128.18190101371,0.516079462469204,878.143088451951,0.000364017546597361,15.4257767535334,0.00350997118503243,0.00237802246713164,0.00357564019543696,1102.80649825415,1153.55730377328,0.510305559869826,0.521853365068582,0.00226335693995347,0.00369030572261512,1097.94737857679,1158.41642345064,0.50919991894654,0.522959005991868,0.00311358719929086,1139.77246839506,0.573949746480126,876.321609420255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","low","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00325447050397069,290.985026681638,1.78443178012702,4095.2422588339,6.65533386442627e-05,5.94167100988084,0.00482760767697529,0.00314499026190088,0.0033639507460405,281.210977870384,300.759075492892,1.7764903654984,1.79237319475565,0.00312402596022793,0.00338491504771344,279.339351502272,302.630701861004,1.77496966908015,1.79389389117389,0.00417557241860753,355.753518581795,1.84297634000579,4094.4241791232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","medium","Smarcescens","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00335333823280579,272.04646208388,1.83437384399255,4229.24722789597,6.2077069627036e-05,5.4587579803183,0.00455471610493875,0.00325122145326932,0.00345545501234227,263.066805206256,281.026118961503,1.82688133599993,1.84186635198518,0.0032316671763368,0.00347500928927478,261.347296442456,282.745627725304,1.82544660042687,1.84330108755823,0.00449387977680768,354.067056816413,1.88313155663441,4229.19251481875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","low","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00362863122561258,414.802927720071,1.24895082455482,2848.21650095961,0.00015026172489321,7.76717771787947,0.00526850079007701,0.00338145068816325,0.00387581176306191,402.025920374159,427.579935065983,1.24028414075514,1.2576175083545,0.00333411824482189,0.00392314420640327,399.579259393027,430.026596047115,1.23862456300627,1.25927708610337,0.00457446674203111,442.863984525525,1.31398442794389,2855.11410912174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","medium","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00317203752468545,284.55780728689,1.72747970963434,3984.62673880627,5.3851604508157e-05,5.01365987989428,0.00386991286568451,0.00308345163526953,0.00326062341410137,276.310336784464,292.805277789317,1.72111370297028,1.73384571629839,0.00306648837984946,0.00327758666952144,274.731033922298,294.384580651483,1.71989468041759,1.73506473885108,0.00409481863986411,253.990664770556,1.76724199595104,3982.76373667533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","high","Ecoli","dufours",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","control","Smarcescens","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00306988655264636,270.781055165836,1.69886263497571,3912.69264131609,4.08821223419417e-05,3.97093176624165,0.00305921306762791,0.00300263546139387,0.00313713764389885,264.248872410368,277.313237921303,1.69383022947946,1.70389504047196,0.00298975759285615,0.00315001551243657,262.998028904002,278.564081427669,1.69286657736316,1.70485869258826,0.00354197772294498,324.46425211084,1.72896952140121,3912.52105922864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","high","Smarcescens","sternal",TRUE,"richards",FALSE,FALSE,0,0.00329557379702875,238.112321456672,1.83518243898269,4303.29358220826,5.62211338356624e-05,5.10204159401136,0.00413679413831449,0.00320309003186909,0.00338805756218842,229.719463034523,246.50517987882,1.82837741262516,1.84198746534021,0.00318538037471085,0.00340576721934665,228.112319932409,248.112322980934,1.82707432247159,1.84329055549378,0.00448862134715778,335.91008631114,1.87738599192749,4300.81076804634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","medium","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00325432368490804,454.20453111009,0.866263616424202,1980.57871910874,0.000242451491316255,10.8476820789935,0.00566951902262409,0.0028554909816928,0.00365315638812328,436.360094090146,472.048968130034,0.856937257631985,0.875589975216418,0.00277911876192818,0.0037295286078879,432.943074235263,475.465987984917,0.855151359139858,0.877375873708545,0.00339111514486032,456.202258857642,0.964239763040274,1982.41369561461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","medium","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.002847950759387,465.739853381696,0.805975894147554,1825.58000792919,0.000223817718322069,12.1547316931881,0.00578993930221362,0.0024797706127472,0.00321613090602681,445.745319746402,485.73438701699,0.796451443995412,0.815500344299695,0.00240926803147575,0.00328663348729826,441.916579263047,489.563127500345,0.794627613115215,0.817324175179892,0.00315018512980488,467.704447128845,0.89266846392857,1825.95521875899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","control","Smarcescens","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00316316279904849,283.648516826177,1.70908108859664,3927.21546514388,5.61978419252977e-05,5.17604649065239,0.00404920560312907,0.00307071734908138,0.00325560824901561,275.133920349054,292.1631133033,1.70242014537949,1.71574203181378,0.00305301502887491,0.00327331056922208,273.503465704498,293.793567947856,1.7011446456145,1.71701753157877,0.00404355175786779,352.909522732651,1.75344652919303,3928.11738822702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","control","Ecoli","dufours",TRUE,"richards",FALSE,FALSE,0,0.00161126377142386,926.945373089336,1.09291739679795,1763.5106511602,3.71847060398232e-05,9.41422031196758,0.00507617272472224,0.00155009492998835,0.00167243261285937,911.45898067615,942.431765502523,1.08456709266578,1.10126770093012,0.0015383817475858,0.00168414579526191,908.49350127788,945.397244900793,1.0829680982575,1.10286669533841,0.00157299771073817,903.840397097946,1.16335587258273,1759.8536624692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","high","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.0022640517992836,414.518660082382,0.705664434215574,1640.3719181149,0.000244036004449798,19.2199689275036,0.00683189830200892,0.00186261257196368,0.00266549102660352,382.901811196639,446.135508968125,0.69442596150877,0.716902906922379,0.001785741230562,0.00274236236800521,376.847520984475,452.189799180289,0.692273913543637,0.719054954887512,0.00223004523137719,405.373419836071,0.781756618708735,1641.62710910177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","control","Ecoli","sternal",TRUE,"richards",FALSE,FALSE,0,0.00174757056368754,914.623603449415,1.22037586745457,1951.06949954837,2.2154898454619e-05,5.00906125585946,0.00336889399622323,0.00171112575572969,0.00178401537164539,906.383697683526,922.863509215303,1.21483403683079,1.22591769807836,0.00170414696271649,0.00179099416465859,904.80584338793,924.441363510899,1.21377283522198,1.22697889968717,0.00178717167678056,911.534165350759,1.24932127505543,1949.08989540983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","medium","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.00237157571997836,457.946668987115,0.742131722173978,1692.4704212237,0.000295481521285079,22.3025217566087,0.00841379387651692,0.0018855086174644,0.00285764282249231,421.259020697493,494.634317276736,0.728291031247107,0.755972413100848,0.0017924319382596,0.00295071950169711,414.233726344162,501.659611630068,0.725640686176005,0.758622758171951,0.00203065721811993,428.191150922674,0.855534451236807,1693.4230694011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
