"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"42","cent","S17-1","27june2022",TRUE,"gompertz",FALSE,FALSE,0,0.00125420942376161,323.786215754368,1.82395735558393,818.578628967812,9.22898101234243e-06,4.37271201525422,0.0361805379188262,0.00123902774999631,0.00126939109752692,316.593104489275,330.979327019461,1.76444037070747,1.8834743404604,0.00123612062097742,0.0012722982265458,315.21570020447,332.356731304267,1.75304350126304,1.89487120990483,0.00155302290525726,473.163380169295,1.28036043869587,817.2313603921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","control","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00219746389508797,665.178456228587,1.37131430973568,642.521000177194,1.6974116610156e-05,2.57193639482844,0.00935089355407048,0.00216954147326426,0.00222538631691168,660.947620859094,669.409291598079,1.35593208983924,1.38669652963213,0.00216419462653206,0.00223073316364388,660.137460894723,670.21945156245,1.3529865583697,1.38964206110166,0.00229872019626871,667.125386140617,1.29296857445151,641.677653082394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","cent","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00142556387262946,456.216542693427,1.44363584701132,721.254536843563,1.82323342054225e-05,6.1620402872427,0.0320729859562505,0.00139557168286154,0.00145555606239738,446.079986420913,466.353098965942,1.39087578511329,1.49639590890935,0.00138982849758683,0.00146129924767209,444.138943730432,468.294141656423,1.38077279453707,1.50649889948557,0.00231504485329508,535.363060538398,1.23517622913886,721.495231220526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","control","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00255572619521164,708.692028916187,1.49393067601894,679.14179678373,3.38902112021821e-05,4.31331739392794,0.0156580286089483,0.00249997679778405,0.00261147559263923,701.596621803176,715.787436029198,1.46817321895722,1.51968813308066,0.00248930138125537,0.00262215100916792,700.237926824088,717.146131008286,1.46324093994541,1.52462041209248,0.00270108470902665,697.301811491613,1.40094162152192,676.610815254464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","dufours","S17-1","27june2022",TRUE,"gompertz",FALSE,FALSE,0,0.00144190901200142,803.580192232643,0.584664252194128,246.290509289254,1.32354365509629e-05,1.7234387309386,0.00244328627749515,0.00142013671887509,0.00146368130512776,800.745135520249,806.415248945037,0.580645046267648,0.588683458120608,0.00141596755636154,0.00146785046764131,800.202252320003,806.958132145283,0.579875411090237,0.589453093298019,0.00137272670223194,803.627938670389,0.560712968182031,246.216348316083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","sternal","S17-1","27june2022",TRUE,"logistic",FALSE,FALSE,0,0.00319883335015301,726.270766752922,1.54787703372275,756.731647734235,2.25107608272645e-05,1.80580588401695,0.00480428312011645,0.00316180314859216,0.00323586355171386,723.300216073714,729.24131743213,1.53997398799016,1.55578007945535,0.00315471225893157,0.00324295444137445,722.731387220249,729.810146285596,1.53846063880733,1.55729342863818,0.00432370941129856,774.317818962824,1.52626121740782,753.940778813384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","LB","S17-1","27june2022",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","sternal","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00401358854981657,730.099497041074,1.81278476737617,919.032715703466,3.94758735828511e-05,2.74320806013699,0.00736699323600714,0.00394865073777278,0.00407852636186036,725.586919782148,734.612074299999,1.80066606350294,1.8249034712494,0.00393621583759418,0.00409096126203895,724.722809243205,735.476184838942,1.79834546063359,1.82722407411874,0.00641827393805556,806.233951479332,1.80454199962872,916.666734417683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","cent","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00139031631548357,457.361085514969,1.53356177178958,705.904832434797,1.23409724524986e-05,4.31871608719529,0.0309165363704536,0.00137001541579921,0.00141061721516793,450.256797551532,464.465373478405,1.48270406946018,1.58441947411897,0.00136612800947667,0.00141450462149046,448.896401984066,465.825769045871,1.47296536050349,1.59415818307567,0.00162359649962872,473.577238797862,1.22698485596836,705.267443755521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","control","S17-1","27june2022",TRUE,"richards",FALSE,FALSE,0,0.00171595665669132,697.343442718281,1.22845131576352,477.94553327491,1.57614868941726e-05,3.07546414041177,0.0171209789006889,0.0016900290107504,0.00174188430263223,692.284304207304,702.402581229258,1.20028730547188,1.25661532605515,0.00168506414237874,0.00174684917100389,691.315533003074,703.371352433488,1.19489419711817,1.26200843440887,0.00309839539330079,917.119897720133,1.07053963456486,477.23063641353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
