"treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"spin","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00242194679019816,402.304939937559,1.50819571670767,3163.11404894987,3.94964123539805e-05,6.54091832555327,0.00348951547741651,0.00235697519187586,0.00248691838852045,391.545129292024,413.064750583094,1.50245546374732,1.51393596966802,0.00234453382198435,0.00249935975841196,389.484740019474,415.125139855643,1.50135626637193,1.5150351670434,0.0025591011000538,352.95330456015,1.52808263036282,3156.6989068308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","e. coli","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.00222247098413635,430.736475171239,1.47801493610307,3015.02099610215,3.47246443638909e-05,5.88438094954198,0.00354941849019711,0.00216534894415775,0.00227959302411495,421.056668509242,440.416281833236,1.47217614268669,1.48385372951944,0.00215441068118313,0.00229053128708958,419.203088510137,442.269861832341,1.47105807586228,1.48497179634385,0.00290421594256713,557.635413327947,1.51051054475378,3009.96886196081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","e. coli","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.00160616893637471,529.613862075885,0.58695694244741,1228.27910743087,8.10985666824416e-05,10.5374476031038,0.00309566519349157,0.00147276179418209,0.00173957607856733,512.279760768779,546.94796338299,0.581864573204117,0.592049311690704,0.00144721574567712,0.00176512212707229,508.960464773801,550.267259377968,0.580889438668167,0.593024446226654,0.00140450194888272,498.398524187397,0.644006006411038,1225.71342207703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00191100911013005,369.766697890586,1.08297676231958,2311.31987362359,6.378512434705e-05,11.1859409087041,0.00515141209931876,0.00180608258057915,0.00201593563968095,351.365825095767,388.167570685404,1.07450268941621,1.09145083522296,0.00178599026640983,0.00203602795385027,347.842253709526,391.691142071646,1.07287999460492,1.09307353003425,0.00246850656580716,394.704159733142,1.17644648779723,2310.03184591544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","e. coli","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.00201725214383765,382.868567447616,1.06359407613037,2294.61569336754,7.94629397391017e-05,11.8185300730142,0.00534664253911622,0.00188653560796682,0.00214796867970847,363.427085477508,402.310049417725,1.05479884915353,1.07238930310722,0.00186150478194901,0.00217299950572629,359.704248504508,406.032886390724,1.05311465675371,1.07407349550704,0.00226451686090331,378.131252291141,1.1703701100637,2290.29618627904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00363042402488475,256.694858473918,1.63404207073306,3737.29556304429,0.000135458833478892,9.10180084681989,0.00727441503230338,0.00340759424381197,0.00385325380595753,241.722396080899,271.667320866937,1.62207565800492,1.6460084834612,0.00336492471126612,0.00389592333850338,238.855328814151,274.534388133685,1.61978421726975,1.64829992419638,0.00561201732449649,272.744616428535,1.72094536684289,3738.23041146095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00155952976573134,358.497552360254,0.924757539389143,1973.25887511598,5.14872913686959e-05,11.6949575649479,0.00446981728029434,0.00147483317142983,0.00164422636003284,339.259347165915,377.735757554593,0.917404689963058,0.932110388815227,0.00145861467464869,0.00166044485681398,335.575435532956,381.419669187552,0.915996697519766,0.933518381258519,0.00180278823604726,362.99911061114,1.00168323063385,1971.56396799369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","s. mar","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.00418610091257983,377.915408904678,1.1870787792696,2712.75855377867,0.000384349309860335,14.9019090359085,0.00937471609522034,0.00355384629785958,0.00481835552730008,353.401768540608,402.429049268747,1.17165737129296,1.20250018724623,0.00343277626525357,0.00493942555990609,348.707667194297,407.123150615058,1.16870433572296,1.20545322281623,0.00385725868517977,343.720336010689,1.32477456927016,2710.032599314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00154366753564048,395.196576926218,0.897570445900591,1888.37422208841,5.13339455725223e-05,11.5788873343089,0.0043485725692172,0.00145922319517368,0.00162811187610728,376.14930726128,414.243846591156,0.890417044024229,0.904723847776954,0.00144305300231834,0.00164428206896262,372.501957750973,417.891196101463,0.889047243664926,0.906093648136257,0.00203465199845352,428.349327519591,0.978296895378311,1887.59571554819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","s. mar","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.00407013810284468,359.28870990796,1.19359227362176,2744.0598394441,0.00034391919157085,14.180286355431,0.00880890822571605,0.00350439103271063,0.00463588517297873,335.962138853276,382.615280962644,1.17910161959046,1.20808292765306,0.00339605648736581,0.00474421971832354,331.495348651315,387.082071164605,1.17632681349936,1.21085773374417,0.00389398515235499,311.50803250545,1.31311777845026,2743.12376939228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
