"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"13","control","DC3000","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","control","SCC477","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","control","S17-1","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,1.2645713132374,0.684148063466725,1.65873085419445,1.0876944936574,0.0274125282234043,0.0110358584905316,0.0414791484243185,1.2194777043099,1.3096649221649,0.6659940762498,0.702302050683649,1.59049765503644,1.72696405335245,1.21084275791953,1.31829986855527,0.662517780825283,0.705778346108167,1.57743172328278,1.74002998510611,1.9989839409952,1.09647133995058,1.35286846760718,1.07689156452654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16"," 1/8","DC3000","C. inequalis",TRUE,"logistic",FALSE,FALSE,0,2.30937915710259,1.15429406383716,1.90451327738716,0.909696382282946,0.0856366788424157,0.0189095164002654,0.0644616796606674,2.16850682040681,2.45025149379836,1.12318790935872,1.18540021831559,1.79847381434537,2.01055274042896,2.14153126657145,2.47722704763372,1.11723141169264,1.19135671598168,1.77816838525226,2.03085816952207,6.80449269702704,1.46806777716833,1.57801666299631,0.909714696509988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17"," 1/8","2698B","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,8.0253315890592,0.630814907598623,1.3889068878925,1.85376141283668,0.235336575160383,0.00288158405344384,0.0209191011647619,7.63820292292037,8.41246025519803,0.626074701830708,0.635555113366538,1.35449496647646,1.42331880930853,7.56407190174485,8.48659127637356,0.625167002853873,0.636462812343373,1.34790544960956,1.42990832617543,8.20037770927815,0.59689658806213,1.51014501000553,1.85967162978619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18"," 1/8","DC3000","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,2.81775703529589,0.701710203668301,1.48101684135175,1.50748636077748,0.0675827070316631,0.00507499626145461,0.00474732676106661,2.70658348222881,2.92893058836298,0.693361834818208,0.710058572518394,1.4732074888298,1.48882619387371,2.68529492951383,2.95021914107795,0.69176321099585,0.711657196340752,1.47171208090006,1.49032160180344,4.85624026027492,0.717259035290699,1.50036608595101,1.48339868833042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19"," +","S17-1","C. inequalis",TRUE,"logistic",FALSE,FALSE,0,0.172826664592798,1.72055934994503,0.00814795464850336,0.00227988786078439,0.080099884418034,0.0150172884467824,0.000238509466011679,0.0410623547251324,0.304590974460464,1.69585591045007,1.74526278943998,0.00775560657691415,0.00854030272009258,0.0158308911334517,0.329822438052145,1.69112546458933,1.74999323530072,0.00768047609512047,0.00861543320188625,0.0357745741393811,1.56497655740452,0.0088886323838365,0.00262435460314667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20"," 1/4","SCC477","C. inequalis",TRUE,"logistic",FALSE,FALSE,0,6.53321258970633,1.61336088700874,1.61003657351278,0.463670796130493,1.05021635413504,0.0267078598233663,0.0734307306185257,4.8056066871542,8.26081849225847,1.56942645759931,1.65729531641818,1.48924302164531,1.73083012538026,4.47478853560166,8.59163664381101,1.56101348175495,1.66570829226254,1.46611234150047,1.75396080552509,5.69829975728347,NA,1.66279000309893,0.563831559335563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","control","2698B","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,8.55025272509495,0.584234923898882,1.65810039581284,2.20073180095262,0.310606157472352,0.00342400581382094,0.00592193177830081,8.03930559605293,9.06119985413697,0.578602434335146,0.589867413462617,1.64835881803754,1.66784197358815,7.94146465644914,9.15904079374076,0.577523872503792,0.590945975293971,1.64649340952737,1.66970738209831,12.2748329620962,0.596732880470621,1.73189623414172,2.10630089248475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22"," 1/8","SCC477","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,22.3605845538447,1.72637725578296,0.769258379168313,0.384612736246379,10.304850721279,0.0103600220500398,0.101439369546803,5.40910511734071,39.3120639903488,1.70933501951064,1.74341949205528,0.602390616263821,0.936126142072804,2.16307714013781,42.5580919675517,1.70607161256488,1.74668289900104,0.570437214856578,0.968079543480047,4.58948804476378,1.54211611911556,1.15082060935989,0.393480993718654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23"," +","DC3000","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24"," 1/4","DC3000","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,15.4799675861598,1.73701676224193,0.329980964323591,0.0900975154127429,23.9811087074519,0.03015528896096,0.0207705222840543,-23.9689562375986,54.9288914099181,1.68741131190115,1.78662221258271,0.295813455166322,0.36414847348086,-31.5230054804459,62.4829406527655,1.67791239587845,1.79612112860541,0.289270740646845,0.370691188000338,1.19687747360806,1.50588593899217,0.3434387892789,0.108963540851842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","control","S17-1","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,1.33629328881223,0.935638772797482,3.03344240172786,0.877031679949756,0.0609977778678244,0.0422974347638339,0.426203488800065,1.23595194421966,1.4366346334048,0.866059492610975,1.00521805298399,2.33233766265175,3.73454714080397,1.2167376441913,1.45584893343317,0.852735800660368,1.0185417449346,2.19808356367973,3.86880123977599,2.6742438220837,NA,1.35024569158221,0.873568967536966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26"," +","SCC477","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","control","SCC477","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","control","SCC477","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30"," 1/4","2698B","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,6.73456782950863,0.627166697493978,1.11136076496034,1.54577100020042,0.232985598730862,0.00316251629909771,0.0208942273066684,6.35130651959636,7.11782913942089,0.621964358181963,0.632369036805994,1.07698976104087,1.14573176887981,6.27791605599614,7.19121960302112,0.620968165547747,0.63336522944021,1.07040807943927,1.15231345048141,9.62106279689602,0.619250505897266,1.27749586008342,1.54598233565554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31"," 1/8","S17-1","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,1.26838904517284,0.826754636317905,1.74886245399268,0.907927873338434,0.0371187568130336,0.0187184624341047,0.0956841474665372,1.2073286902154,1.32944940013028,0.795962765613803,0.857546507022008,1.59146203141023,1.90626287657513,1.1956362818193,1.34114180852639,0.79006644994706,0.86344282268875,1.56132152495827,1.93640338302709,1.74852569493387,1.05836290670557,1.27278793593726,0.894826993409087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32"," 1/2","SCC477","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,8.89958527947466,1.72515532823798,0.436054256493552,0.245688978924743,3.11517840757369,0.01239459397198,0.0553005554007801,3.77511679901595,14.0240537599334,1.70476622115407,1.74554443532189,0.345084842859269,0.527023670127836,2.79383560063024,15.0053349583191,1.7008619240529,1.74944873242306,0.327665167908023,0.544443345079082,2.62814855574921,NA,0.736232509841312,0.236317556514568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34"," +","S17-1","C. inequalis",TRUE,"logistic",FALSE,FALSE,0,2.23210297184836,1.72670445102079,0.0646678814665566,0.0182494786122054,1.8308133571719,0.013338167716371,0.00243273902957071,-0.77958500069942,5.24379094439614,1.70476316512736,1.74864573691422,0.0606660257629128,0.0686697371702004,-1.35629120820857,5.82049715190528,1.7005616422967,1.75284725974488,0.059899712968598,0.0694360499645152,0.279334212977211,1.52486176830852,0.064712934436425,0.0239519796869399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35"," 1/8","2698B","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,7.7646938042502,0.626550764260871,1.506180073431,1.93530924178145,0.203930950766144,0.00231704590155464,0.00417906351203037,7.42922739023989,8.10016021826051,0.622739223752814,0.630362304768928,1.49930551395371,1.51305463290829,7.36498914074856,8.16439846775184,0.622009354293824,0.631092174227918,1.49798910894742,1.51437103791458,10.5330679404732,0.626823509949889,1.54760147057489,1.88810206809323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," 1/4","S17-1","C. inequalis",TRUE,"logistic",FALSE,FALSE,0,1.50311873301265,1.00212443324438,1.49394175191578,0.820757804407212,0.0562364402689694,0.0234878546840451,0.0599708476787386,1.4106097887702,1.59562767725511,0.963486912289125,1.04076195419963,1.39528970748425,1.5925937963473,1.39289531008547,1.61334215593983,0.956088238063651,1.04816062842511,1.37639889046545,1.6114846133661,2.3678828299234,1.23794657431091,1.27911161970399,0.817758292315162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
